Tiempo_s,Valor
0.0335850000008941,2.80225
7.83848900000006,0.576125
7.97907699999958,0.1155
8.01073399999738,0.119625
8.0381080000028,1.890625
8.06151399999857,3.0305
8.0888200000003,3.092375
8.12416899999976,2.809125
8.15275299999863,0.847
8.17700800000131,0.1155
8.20621299999952,0.1155
8.23713499999791,1.20725
8.26406599999964,2.8875
8.29149000000209,3.091
8.32035499999672,3.095125
8.34643199999631,1.24575
8.37300800000131,0.116875
8.39821000000089,0.11275
8.42754199999571,1.0835
8.45396000000089,2.82425
8.47944999999553,3.08825
8.50716600000113,3.091
8.52748399999738,1.643125
8.55588300000131,0.1155
8.58223099999875,0.1155
8.60622699999809,0.518375
8.6337349999994,2.96175
8.65539800000191,3.0965
8.68108399999887,3.0965
8.7036569999978,2.26875
8.72795899999887,0.132
8.74965599999577,0.13475
8.7808069999963,0.14025
8.80974599999935,2.44475
8.8439680000022,3.09375
8.86734700000286,3.09925
8.88782299999893,2.140875
8.90900299999863,0.12925
8.92818500000238,0.1265
8.95070399999619,0.127875
8.97059899999946,2.35125
8.99010000000149,3.095125
9.01046999999881,3.09925
9.03374099999666,2.83525
9.05547699999809,0.1265
9.0749680000022,0.125125
9.09795600000024,0.125125
9.11898600000143,2.19725
9.1377669999972,3.08825
9.15625699999928,3.09375
9.17612299999595,3.091
9.19558999999613,0.3135
9.21922200000286,0.12925
9.23938599999994,0.12925
9.26040200000256,2.044625
9.28169200000167,3.086875
9.30332699999958,3.0965
9.32404999999702,3.07175
9.34419200000167,0.32725
9.36254399999976,0.127875
9.38596999999881,0.12925
9.41060400000215,1.742125
9.43425400000066,3.08
9.45536699999869,3.095125
9.47657499999553,3.073125
9.50156399999559,0.27775
9.52116799999773,0.12375
9.54046099999547,0.12925
9.56055200000107,1.9085
9.58255600000173,3.089625
9.60325100000203,3.089625
9.62258500000089,3.09375
9.64170199999958,0.317625
9.6612650000006,0.119625
9.68945799999684,0.122375
9.71448900000006,1.8865
9.73733599999547,3.081375
9.76102300000191,3.089625
9.78464899999648,3.095125
9.80936800000072,0.444125
9.83479699999839,0.125125
