Tiempo (s),Voltaje (V)
0.18328200000152,1.89747697312851
2.54142700000107,1.89264566640486
2.56946400000155,1.86462408740772
2.59811700000241,1.88008426892338
2.61270399999991,1.91293715464417
2.62870800000057,1.9039187154267
2.64417100000009,1.91905680982745
2.65918800000101,1.9106825448398
2.67504400000349,1.89135731794522
2.69290799999982,1.89522236332414
2.70823500000313,1.89425610197941
2.72449100000039,1.88555974987685
2.7440530000031,1.90810584792052
2.7604830000028,1.90005367004778
2.7769280000031,1.89908740870305
2.79203700000048,1.89200149217504
2.8077330000028,1.88845853391103
2.82326800000295,1.87879592046374
2.83913700000197,1.85174060281133
2.85430800000206,1.83370372437639
2.86969700000063,1.8272619820782
2.88404500000179,1.84336633782368
2.89999400000274,1.83853503110004
2.91997600000352,1.82629572073347
2.94238700000197,1.91583593867836
2.95831700000167,1.91648011290818
2.97558300000057,1.91293715464417
2.99052100000158,1.87009956836118
3.00540799999982,1.85979278068407
3.02021300000325,1.84272216359386
3.03443500000238,1.8308049403422
3.04877600000054,1.83789085687022
3.07045700000227,1.84207798936404
3.0859280000031,1.80503797114943
3.10130200000107,1.84175590224913
3.11658700000122,1.83048285322729
3.13124500000104,1.87203209105064
3.1454290000014,1.87686339777429
3.16051200000197,1.93967038518167
3.17557100000232,1.87782965911902
3.19034400000051,1.90166410562233
3.2059140000008,1.88588183699176
3.22096100000292,1.84014546667458
3.23538300000131,1.82855033053784
3.24903200000152,1.84626512185787
3.2644450000003,1.87750757200411
3.2817490000017,1.86655661009718
3.29862200000137,1.85560564819025
3.31635500000045,1.83434789860621
3.33405100000277,1.82887241765275
3.34811400000006,1.86526826163754
3.36225900000334,1.90359662831179
3.37741700000316,1.91486967733363
3.39436600000039,1.90520706388634
3.41285100000352,1.89135731794522
3.42883000000194,1.87589713642956
3.44351099999994,1.91132671906962
3.45828500000015,1.91100463195471
3.47411500000209,1.89876532158814
3.48970600000024,1.90778376080561
3.50376800000295,1.84948599300697
3.51719800000265,1.82146441400982
3.53086200000346,1.88427140141721
3.54519299999997,1.89425610197941
3.55963100000098,1.90134201850742
3.5745390000008,1.89361192774959
3.59018000000343,1.87557504931465
3.61292400000244,1.86365782606299
3.6271630000025,1.90842793503543
3.64291100000218,1.87686339777429
3.65701900000125,1.89618862466887
3.67201900000125,1.85496147396043
3.68799300000072,1.85367312550079
3.7023580000028,1.80568214537925
3.71583700000122,1.84529886051314
3.73137200000137,1.84884181877715
3.74806500000134,1.84626512185787
3.7633730000034,1.88169470449793
3.77771000000089,1.89940949581796
3.79277000000328,1.90939419638016
3.80788599999994,1.88878062102594
3.82282200000063,1.90198619273724
3.83786300000176,1.84497677339823
3.85251700000092,1.84368842493859
3.8659450000003,1.81663310728618
3.88155000000075,1.82210858823964
3.89810000000149,1.86430200029281
3.91243000000343,1.91841263559763
3.92791000000015,1.92421020366601
3.94245399999991,1.91003837060998
3.95651700000092,1.89232357928995
3.97188000000268,1.87267626528046
3.98616000000015,1.90230827985215
4.00011600000039,1.78828944117413
4.01395000000298,1.87879592046374
4.02749100000039,1.87944009469356
4.04176900000125,1.93000777173438
